ProfitLoss	Revenue	Assets	Equity	SuoShuZhengJianHuiHangYeDaLei
10247444.21	91699541.94	61121330.17	41676695.78	通信服务、信息系统集成、软件开发
16162367.99	65332304.36	93644046.96	62824138.15	软件和信息技术服务业（I65）
2446358.22	93104012.69	122133851	51072751.86	软件和信息技术服务业（《上市公司行业分类指引（2012年修订）》I65），软件和信息技术服务业信息系统集成服务（《国民经济行业分类（GB/T4754-2011）》I6520）
-11049.6	28058604.9	39105709.68	31697845.96	计算机应用服务业
9344467.45	113047498.7	98797340.39	37665855.9	
-2863150.81	14709736.1	13709842.27	5866956.9	软件和信息技术服务行业
1144407.5	12337681.39	20346123.08	11205793.24	专业技术服务业
-6301412.42	7025623.72	16223559.76	14184252.28	软件和信息技术服务业
2376008.17	47698832.02	78109316.58	29233999.67	信息传输、软件和信息技术服务业
1454754.36	46715635.2	120703433.7	30082865.86	信息传输、软件和信息技术服务业中的软件和信息技术服务业（I65）
31476222.93	163783450.3	213565189.5	151822456	软件和信息技术服务业
3525651.85	28149872.56	32671163.32	25355769.74	土木工程建筑业
3158863.41	12208661.44	13476248.4	11149361.72	I65软件和信息技术服务业
4958275.25	24936803.57	33708553.56	17743715.29	I65软件和信息技术服务业
1634769.13	87886197.04	151075912.8	58304412.85	C34 通用设备制造业
-2309504.33	24669459.07	53940221.3	19270511.12	软件和信息技术服务业
4125045.72	34672041.94	40519854.9	21257728.28	软件和信息技术服务业
44720732.34	433718059.8	774697217.6	244939199.8	金属制品加工行业
6016500.32	26024201.58	41152689.1	35172931.85	软件和信息技术服务业
868741.31	9417501.97	8664041.18	6903858.99	软件和信息技术服务业（I65）
12685948.6	162556884.8	284169791.5	107087639.4	电力、热力生产和供应业（行业代码：D44）
2283267.27	24246750.35	61576872.56	44047537.8	专用设备制造业
57807.1	15743240.18	85594953.58	45949457.36	制造业下属通用制造业中金属加工机械制造业（代码：C342）
10496885.02	40174240.07	45871731.5	39419112.81	专业技术服务业
1221069.11	24687463.86	32565693.37	16149174.45	软件和信息技术服务业
1031848.23	26225538.31	35625462.02	29623732.84	I-65软件和信息技术服务业
323112.13	23542820.15	24548874.75	13775740.57	软件和信息技术服务业
1392810.06	17550961.23	23934236.42	10710515.79	制造业
3072405.09	58992971.88	116355275.7	38602406.17	石油装备
4654072.25	71692604.4	43963288.53	16929890.02	E75科技推广和应用服务业
591922.4	19883969.25	18187032.48	12625227.7	信息传输、软件和信息技术服务业
16155245.55	239131408.1	394617687	167414578	专用设备制造业
6087236.62	95233051.88	115615693.6	46234026.12	C39计算机、通信和其他电子设备制造业-集成电路制造业
1050579.46	45762229.35	17454603.7	4872175.01	C132
906141.97	17643841.54	54152304.18	23547154.08	计算机、通信和其他电子设备制造业
-260428.32	1637815.4	21841111.03	21304151.6	I65软件和信息技术服务业
13981646.09	88636159.07	52008739.84	34421536.91	软件和信息技术服务业
-1069086.69	13386.79	10144208.8	5739301.49	R87：文化艺术业
1257102.46	95657763.77	214777103.4	110429377	科学研究和技术服务业 M74
9311499.63	30786220.24	47619304.72	43386234.26	"B1120,B11"
4203312.79	11394820.96	24162793.62	21184131.91	计算机、通信和其他电子设备制造业(C39)，互联网和相关服务(I64)及软件和信息技术服务业（I65）
10423141.38	123960662.7	98996922.83	58861093.34	其他金属制品制造
18038681.08	274799098.2	222479035.3	66691339.3	农、林、牧、渔、水利业机械制造业（C35）
562299.53	6703653.93	9503600.32	8660295.62	I65软件和信息技术服务业
